Species	Organ	Stage	Sex	Sample	Type
gallus_gallus	brain	P155	female	f1_wt_adult_rpf	ribo
gallus_gallus	brain	P155	female	f2_wt_adult_rpf	ribo
gallus_gallus	brain	P155	male	m1_wt_adult_rpf	ribo
gallus_gallus	brain	P155	male	m2_wt_adult_rpf	ribo
gallus_gallus	brain	P155	male	m3_wt_adult_rpf	ribo
gallus_gallus	brain	P155	male	m4_wt_adult_rpf	ribo
mus_musculus	brain	P42	female	f1_mus_wt_adult_rpf	ribo
mus_musculus	brain	P42	male	m1_mus_wt_adult_rpf	ribo
mus_musculus	brain	P42	male	m2_mus_wt_adult_rpf	ribo
mus_musculus	brain	P42	male	m3_mus_wt_adult_rpf	ribo
